,location,long,lat
621,Canada,-107.991707,61.0666922
622,Pewaukee WI,-88.2612045,43.0805651
623,,,
624,Florence SC,-79.7671658,34.1984435
625,New Delhi,77.2090057,28.6138954
626,Orlando FL,-81.3790304,28.5421109
627,bangalore,77.590082,12.9767936
628,,,
629,San Francisco California,-122.419906,37.7790262
630,Mumbai India,72.878176,19.0785451
631,India,78.6677428,22.3511148
632,Global,-79.34914879325001,43.7283874
633,London England,-0.12765,51.5073359
634,India,78.6677428,22.3511148
635,London UK,-0.12765,51.5073359
636,Everywhere,19.9036023,39.6262264
637,Pennsylvania USA,-77.7278831,40.9699889
638,,,
639,Pune Maharashtra,73.8544541,18.521428
640,LA Atlanta,-75.6779851,38.708725
641,LA Atlanta,-75.6779851,38.708725
642,,,
643,,,
644,,,
645,New York Metro,121.1006346,14.6131566
646,Washington DC,-77.0365427,38.8950368
647,Baltimore,-76.610759,39.2908816
648,,,
649,,,
650,,,
651,,,
652,Nationwide,-1.776962348126316,51.5382464
653,United States,-100.445882,39.7837304
654,LA Atlanta,-75.6779851,38.708725
655,Leeds UK,-1.5437941,53.7974185
656,London,-0.12765,51.5073359
657,,,
658,Silicon Valley CA,-122.1545229,37.4429964
659,Hell,-83.9849477,42.4347571
660,Massachusetts,-72.032366,42.3788774
661,,,
662,,,
663,Atlanta GA,-84.3902644,33.7489924
664,,,
665,Washington DC,-77.0365427,38.8950368
666,Multiple,-74.5913361,5.9757518
667,,,
668,San Francisco,-122.419906,37.7790262
669,San Francisco CA,-122.419906,37.7790262
670,,,
671,Denver CO,-104.984862,39.7392364
672,,,
673,Gresham OR USA,-122.4309766,45.4997475
674,Worldwide,-2.2434612,53.5120412
675,Tulsa OK,-95.9927516,36.1563122
676,Tulsa OK,-95.9927516,36.1563122
677,Florence SC,-79.7671658,34.1984435
678,San Francisco,-122.419906,37.7790262
679,Pune India,73.8544541,18.521428
680,Film City Noida,77.3139374,28.57407
681,New Delhi,77.2090057,28.6138954
682,India,78.6677428,22.3511148
683,,,
684,New Delhi India,77.2090057,28.6138954
685,,,
686,New Delhi,77.2090057,28.6138954
687,Worldwide,-2.2434612,53.5120412
688,London England,-0.12765,51.5073359
689,New York Metro,121.1006346,14.6131566
690,US Europe and the Caribbean,,
691,Pewaukee WI,-88.2612045,43.0805651
692,AtlantaGa,,
693,,,
694,Orlando FL,-81.3790304,28.5421109
695,,,
696,South Africa,24.991639,-28.8166236
697,Zurich Schweiz,8.5410422,47.3744489
698,Centennial CO,-104.8769227,39.579155
699,Los Angeles,-118.242766,34.0536909
700,Global,-79.34914879325001,43.7283874
701,Los Angeles CA,-118.242766,34.0536909
702,New York NY,-74.0060152,40.7127281
703,Bengaluru India,77.590082,12.9767936
704,Bay Area USA,-122.3558473,37.7884969
705,Weekly Book Summary,,
706,Sacramento CA,-121.493895,38.5810606
707,,,
708,Delhi India,77.1565959,28.6600584
709,,,
710,,,
711,,,
712,,,
713,,,
714,Tampa Bay FL,-82.5723193,27.6886419
715,,,
716,,,
717,New Delhi,77.2090057,28.6138954
718,Connecticut USA,-72.7342163,41.6500201
719,,,
720,Texas USA,-98.5456116,31.2638905
721,Canton Ohio,-81.3749508,40.7985464
722,Florence SC,-79.7671658,34.1984435
723,USA,-100.445882,39.7837304
724,,,
725,,,
726,,,
727,,,
728,,,
729,,,
730,,,
731,,,
732,,,
733,,,
734,,,
735,,,
736,,,
737,,,
738,,,
739,,,
740,,,
741,,,
742,,,
743,,,
744,,,
745,,,
746,,,
747,,,
748,,,
749,,,
750,,,
751,,,
752,,,
753,,,
754,,,
755,,,
756,,,
757,,,
758,,,
759,,,
760,,,
761,,,
762,,,
763,,,
764,,,
765,,,
766,,,
767,,,
768,,,
769,,,
770,,,
